sr,hr,skr,class_label,val
7.16,95.42,2.89,bottle,0.05303030303030303
6.21,189.84,1.47,tv,0.022727272727272724
5.74,48.21,2.42,helmet,0.05555555555555556
9.53,174.11,8.11,helmet,0.05555555555555556
1.95,205.58,8.58,tv,0.022727272727272724
1.0,16.74,1.47,bench,0.018181818181818184
8.58,142.63,5.74,desk_lamp,0.016483516483516484
6.21,237.05,4.79,bench,0.018181818181818184
7.63,142.63,2.42,desk_lamp,0.01098901098901099
1.95,16.74,6.68,ant,0.15
8.58,48.21,4.32,helmet,0.04444444444444444
1.0,268.53,8.58,bottle,0.05303030303030303
8.11,48.21,8.58,tv,0.04545454545454546
3.84,268.53,7.16,bottle,0.05303030303030303
8.58,300.0,7.63,bottle,0.05303030303030303
8.58,16.74,6.68,acoustic_guitar,0.0
6.68,189.84,1.0,bench,0.018181818181818184
5.26,205.58,7.16,acoustic_guitar,0.0
5.26,79.68,3.37,acoustic_guitar,0.0
9.53,111.16,7.16,bench,0.018181818181818184
2.89,142.63,8.11,bottle,0.04545454545454545
1.47,126.89,7.63,bench,0.018181818181818184
8.11,221.32,6.21,tv,0.022727272727272724
9.53,126.89,1.95,desk_lamp,0.01098901098901099
1.47,48.21,4.79,bench,0.02727272727272728
8.11,189.84,6.21,bench,0.018181818181818184
3.84,221.32,4.32,bottle,0.05303030303030303
9.05,205.58,7.63,tv,0.030303030303030304
9.05,48.21,1.0,helmet,0.06666666666666668
3.37,142.63,6.68,acoustic_guitar,0.0
4.32,300.0,7.16,bottle,0.05303030303030303
9.53,174.11,1.95,desk_lamp,0.01098901098901099
2.89,111.16,4.32,bench,0.018181818181818184
7.16,300.0,2.89,bench,0.018181818181818184
1.0,48.21,6.68,bench,0.03636363636363637
2.89,237.05,1.47,bench,0.018181818181818184
5.74,252.79,6.68,desk_lamp,0.01098901098901099
7.16,111.16,10.0,bottle,0.06060606060606061
3.84,189.84,6.21,ant,0.05
10.0,158.37,8.58,ant,0.05
9.05,174.11,5.74,helmet,0.05555555555555556
8.58,300.0,1.95,ant,0.05
1.47,142.63,3.84,helmet,0.05555555555555556
2.89,221.32,7.63,helmet,0.05555555555555556
1.95,32.47,7.16,desk_lamp,0.05494505494505495
9.05,95.42,5.26,desk_lamp,0.02197802197802198
7.63,16.74,5.26,ant,0.15
1.95,1.0,1.95,tv,0.015151515151515152
10.0,221.32,8.58,bottle,0.05303030303030303
2.42,63.95,8.11,tv,0.04545454545454546
8.58,268.53,5.74,tv,0.022727272727272724
6.68,237.05,5.74,bench,0.018181818181818184
7.16,79.68,1.95,tv,0.030303030303030304
3.37,48.21,5.26,tv,0.04545454545454546
1.0,252.79,4.79,helmet,0.05555555555555556
1.95,126.89,5.26,ant,0.05
5.74,142.63,2.42,helmet,0.05555555555555556
9.53,252.79,8.58,bench,0.018181818181818184
10.0,284.26,4.79,acoustic_guitar,0.0
8.11,284.26,1.47,bench,0.018181818181818184
4.32,237.05,1.47,bottle,0.05303030303030303
7.63,142.63,1.0,acoustic_guitar,0.0
2.42,189.84,6.68,ant,0.05
5.74,48.21,2.42,tv,0.03787878787878788
3.84,95.42,2.42,desk_lamp,0.01098901098901099
10.0,158.37,1.95,bench,0.018181818181818184
1.95,300.0,6.21,helmet,0.05555555555555556
8.11,284.26,1.47,tv,0.022727272727272724
3.84,111.16,2.89,ant,0.05
6.21,126.89,1.95,acoustic_guitar,0.0
5.26,205.58,3.84,bench,0.018181818181818184
10.0,158.37,1.95,tv,0.022727272727272724
